"FTAG","ELO_H","ELO_A"
1,981.860504510407,1121.28990675068
2,1077.96542749286,1072.03457250714
1,926.105487915724,1139.00630530646
0,893.924918262057,1168.37588516914
0,797.609664647633,1366.57192288408
0,1088.66038401335,1096.48134910251
0,1100.46762595851,1028.15108434926
0,856.158044793222,1180.00426054879
2,1044.44784733551,1065.84277328227
0,882.187373867107,1261.17398232747
2,882.622072643149,1257.62380535592
0,1190.57139612071,1068.48540198115
3,963.05085293526,1282.1351890221
5,1122.21019504161,1277.78980495839
0,1026.29842126534,1055.35243875002
1,973.364515676682,1132.27665200192
2,1031.15507129868,1120.38691326419
2,876.518373818204,1210.37079603124
4,1016.05152773418,1187.24400445532
0,882.351495841668,1117.64850415833
0,870.491252026386,1190.18218563178
0,936.795733840695,1088.38975838307
1,990.904415375165,1104.53950818322
2,912.16782495869,1213.98574258357
3,931.23296398358,1260.44976223808
0,971.497491110195,1094.83022558995
1,1332.46337304147,1069.55357175979
1,1123.91101186664,1079.09953065306
3,1284.43051045547,1068.01729887945
1,1018.74646554172,1095.78242755767
2,1124.42510330784,1124.30340496507
4,1025.87583122967,1243.27723668566
2,1032.64683518106,1112.78195695305
0,1068.12235297913,1065.17631543586
1,1046.04617599165,1054.59402768319
0,938.103830944988,1043.54341481772
2,969.567687334842,1125.71458767742
0,1008.52271359933,1125.15902897472
0,947.126246949646,1082.65045818952
3,1180.01941793302,1105.64003429187
1,1097.37630909728,1053.61752205565
2,1171.26302997891,1083.80645875541
2,909.607068162889,1194.79296886849
3,1016.01920161693,1180.15794923887
1,1041.95762512796,1117.26525818844
1,947.116804379702,1141.03448851176
1,904.86691853154,1209.78204785788
1,985.498337041484,1157.03877748257
1,989.642778356877,1136.15783874841
3,1175.44105358427,1053.57044970547
0,831.296923874597,1144.2311775442
2,1128.1846454874,1071.8153545126
0,999.89344732971,1096.42883651016
1,1213.42281194755,1098.92323165111
0,1020.29262386979,1115.93177174406
2,1049.14200915813,1101.33241740115
2,1067.3239709108,1013.82273417766
4,1250.78086441198,1088.24770496502
1,1041.56175912332,1101.06184057772
1,1097.11957192517,1052.0422171796
1,913.66872047862,1224.33907688672
0,898.356579201919,1083.38114206048
1,959.197765095194,1131.11891240886
0,952.846874778718,1160.47677871148
1,1077.50870444641,1122.49129555359
0,927.295695300769,1141.58585534634
1,860.008107688914,1230.4376886636
0,831.329446647068,1164.44673770656
2,1015.98413933658,1143.40422313692
0,1020.59663211072,1084.95791637963
4,1273.16931780392,1123.64334254053
0,913.827158697369,1083.97375581354
0,899.811549027174,1086.75101343267
0,948.765397920695,1100.12352869648
0,897.081088108438,1132.70889342991
0,949.015904954842,1152.2030881609
1,996.624030015425,1054.37751045426
1,944.068393300622,1193.8878573775
1,1052.9114120041,1047.67145042321
0,904.8716579215,1117.77633636705
0,841.226500192311,1176.95637073242
2,1056.87462001991,1051.8207882795
1,974.349729754031,1072.6395206358
1,945.095295819616,1161.88626252083
1,938.005545912109,1138.81747127772
2,948.3086296568,1165.80195801412
3,1061.78631297835,1095.78017186909
0,917.919998570613,1146.52707409847
0,966.792788927259,1129.05689306344
0,945.156649830025,1052.00228424287
2,1028.52064353812,1213.3474117728
1,963.621585166411,1079.21002603116
1,1041.71715687077,1060.73201251003
1,1082.3349598637,1119.54024367005
0,943.389625915846,1162.43680360278
0,1030.522957254,1065.57110076519
4,1108.15825854247,1029.93210783992
0,911.81568773228,1145.48368880629
1,879.782083137794,1156.35597446384
2,1099.21201706189,1137.31458638742
2,1073.57534210212,1078.08640628507
1,915.900713348627,1165.15017793847
