"FTHG","ELO_H","ELO_A"
1,972.000458997269,1147.29365396519
1,1094.02388812508,1064.33492044497
1,943.562284198694,1111.88275823698
1,924.205835854895,1130.71531548018
0,831.440494964421,1309.6567122761
4,1122.69730183746,1054.79257466687
3,1114.49627597984,1015.50781505638
1,900.140699004648,1127.01418774596
0,1071.14119086204,1061.43493593075
2,927.482694571383,1187.09293580029
0,863.474825351212,1303.73569695608
5,1200.65902587181,1050.17437425452
1,972.925624123877,1246.99520863588
3,1122.54312966663,1278.36310955426
2,1052.38185695163,1026.48627901142
1,963.895805476426,1134.03059815123
1,1014.58740533232,1150.03740885448
0,878.695870658765,1194.41000018983
0,1032.49463056995,1178.11670059488
0,886.864802900011,1106.20214029318
2,953.699848790468,1088.37499150315
0,935.249991051293,1092.20041906184
1,969.528959599663,1127.60008519654
0,894.145620898091,1270.33439600302
1,916.018226854356,1270.66835106927
2,1036.67730496764,1022.75920172304
7,1353.8903677795,1046.51566298844
3,1132.15676267034,1067.15569390133
3,1337.68065593556,1073.7770328072
1,1030.94343701959,1078.71954115569
3,1121.58448153452,1131.17753061306
1,1020.98852241011,1258.47275807355
1,1084.67946009448,1082.76122890793
2,1071.37588186271,1055.9445573698
1,1061.41999748599,1037.6195525116
0,956.083292729315,1022.45624327211
0,997.236734877317,1101.88629079486
2,1026.28241450534,1098.17007073421
1,979.435895961117,1035.06027046704
3,1193.4391355765,1087.31256403255
2,1091.17992108738,1064.59233852679
3,1185.19722039428,1082.62950127648
0,884.953257859452,1246.48835886659
1,1024.03924040129,1170.75014035204
2,1069.45823458265,1081.03768657693
1,952.796825478513,1132.402537395
1,915.310891052412,1205.76410287368
2,1028.74725437401,1106.63070279087
1,989.373154061185,1137.88187486946
2,1185.12536167937,1046.28195450783
0,883.940574680156,1072.84010367294
2,1142.40744101281,1059.48723334749
1,997.824795941765,1094.65076733147
5,1240.03043159416,1061.01976503165
3,1019.63708893752,1122.07019246701
1,1047.78899244742,1103.47421931069
0,1076.59758991203,1009.10783210315
2,1319.38488091796,1106.5759081154
2,1100.22726290534,1049.85871951643
